"DOTAHeroes"
{   
	"npc_dota_hero_nevermore_lua"
	{
		"override_hero"				"npc_dota_hero_nevermore"			
		"AttributePrimary"			"DOTA_ATTRIBUTE_AGILITY"

		"AbilityLayout"					"9"
		"Ability1"						"nevermore_basic_attack"             	
		"Ability2"						"nevermore_second_attack"             
		"Ability3"						"nevermore_mobility"							
		"Ability4"						"nevermore_counter"
		"Ability5"						"nevermore_special_attack"					
		"Ability6"						"nevermore_extra"
		"Ability7"						"nevermore_ultimate"	
		"Ability8"						"nevermore_ex_counter"	
		"Ability9"						"nevermore_ex_special_attack"	

		"VisionDaytimeRange"		"2000"
		"VisionNighttimeRange"		"2000"

		"ArmorPhysical"				"0"										
		"MagicalResistance"			"0"										

		"AttackDamageMin"			"6"										
		"AttackDamageMax"			"6"											
		"AttackRate"				"0.4"										
		"AttackAnimationPoint"		"0.3"	
		"AttackRange"				"80"
		
		"MovementSpeed"				"380"
		"MovementTurnRate"			"2.0"

		"AttributeBaseStrength"		"0"										
		"AttributeStrengthGain"		"0"										
		"AttributeBaseIntelligence"	"0"										
		"AttributeIntelligenceGain"	"0"										
		"AttributeBaseAgility"		"0"										
		"AttributeAgilityGain"		"0"										
		
		"StatusHealth"				"185" 						
		"StatusHealthRegen"			"0.0"									
		"StatusMana"				"100"									
		"StatusManaRegen"			"0.0"	
	}
}
